ID;time;Dose;OBS;YTYPE;EVID;MDV;AMT
1;0;0;0;.;1;1;0
1;2;0;55.5576689356617;2;0;0;0
1;3;0;55.8396276944358;2;0;0;0
1;4;0;60.2676974636612;2;0;0;0
1;6;0;69.3892782923885;2;0;0;0
1;8;0;78.7151385843288;2;0;0;0
1;11;0;93.7500999097906;2;0;0;0
1;14;0;100.897942754223;2;0;0;0
1;17;0;124.610667559254;2;0;0;0
1;18;0;132.366694942712;2;0;0;0
1;19;0;154.77764283104;2;0;0;0
1;20;0;149.521913831861;2;0;0;0
1;21;0;142.76078463725;2;0;0;0
1;23;0;186.869959508458;2;0;0;0
1;25;0;174.718307428679;2;0;0;0
1;26;0;190.060097615687;2;0;0;0
1;29;0;217.314575436864;2;0;0;0
1;31;0;227.200626346491;2;0;0;0
1;33;0;247.748724873899;2;0;0;0
1;38;0;300.62257127618;2;0;0;0
1;40;0;329.053015321108;2;0;0;0
1;41;0;280.448492071642;2;0;0;0
1;43;0;331.732770328796;2;0;0;0
1;44;0;313.716802423582;2;0;0;0
1;46;0;314.432182973194;2;0;0;0
1;47;0;333.327714271124;2;0;0;0
2;0;0;0;.;1;1;0
2;0;0;49.3593328247923;2;0;0;0
2;2;0;53.5449338443715;2;0;0;0
2;4;0;75.0788998455718;2;0;0;0
2;8;0;98.5034401167538;2;0;0;0
2;10;0;93.9358774466659;2;0;0;0
2;11;0;105.736147477908;2;0;0;0
2;12;0;114.293954052694;2;0;0;0
2;13;0;113.096134378618;2;0;0;0
2;16;0;136.931991415119;2;0;0;0
2;18;0;138.181144316561;2;0;0;0
2;19;0;147.980992588796;2;0;0;0
2;21;0;153.547898211819;2;0;0;0
2;26;0;183.238576440222;2;0;0;0
2;28;0;182.72585159701;2;0;0;0
2;29;0;196.840009384893;2;0;0;0
2;31;0;208.373157441847;2;0;0;0
2;36;0;246.307794204424;2;0;0;0
2;37;0;230.249314056585;2;0;0;0
2;39;0;268.901274282714;2;0;0;0
2;40;0;246.600928990941;2;0;0;0
2;41;0;259.013767402195;2;0;0;0
2;42;0;255.86606745472;2;0;0;0
2;44;0;249.040802671285;2;0;0;0
2;48;0;293.352705869189;2;0;0;0
2;50;0;287.290973185897;2;0;0;0
3;0;0;0;.;1;1;0
3;0;0;44.4664216098631;2;0;0;0
3;1;0;55.8004785352498;2;0;0;0
3;5;0;62.4119891653668;2;0;0;0
3;9;0;72.2272107735545;2;0;0;0
3;11;0;77.7766663071983;2;0;0;0
3;13;0;81.0821825592687;2;0;0;0
3;14;0;101.043350572487;2;0;0;0
3;15;0;104.564974879703;2;0;0;0
3;16;0;104.12298172038;2;0;0;0
3;21;0;126.293262385204;2;0;0;0
3;22;0;124.476047277035;2;0;0;0
3;26;0;152.501719043379;2;0;0;0
3;28;0;162.299619872122;2;0;0;0
3;31;0;174.29495422153;2;0;0;0
3;33;0;182.798608011636;2;0;0;0
3;35;0;206.02426766499;2;0;0;0
3;38;0;207.337773456162;2;0;0;0
3;39;0;204.771343536224;2;0;0;0
3;40;0;219.113364743638;2;0;0;0
3;42;0;222.486694828671;2;0;0;0
3;43;0;224.921361537935;2;0;0;0
3;44;0;246.933208998487;2;0;0;0
3;45;0;227.846371679141;2;0;0;0
3;47;0;247.450206269584;2;0;0;0
3;48;0;272.943519842117;2;0;0;0
4;0;0;0;.;1;1;0
4;2;0;52.2548263666543;2;0;0;0
4;3;0;55.257483575948;2;0;0;0
4;7;0;72.8548193477297;2;0;0;0
4;8;0;74.041560814565;2;0;0;0
4;9;0;80.7088495636666;2;0;0;0
4;10;0;69.1783825490217;2;0;0;0
4;11;0;77.4532675233643;2;0;0;0
4;13;0;90.0048952941335;2;0;0;0
4;18;0;121.999101179492;2;0;0;0
4;21;0;119.153200056226;2;0;0;0
4;24;0;136.270828094659;2;0;0;0
4;29;0;156.13960510549;2;0;0;0
4;31;0;158.117365675671;2;0;0;0
4;32;0;184.176436722122;2;0;0;0
4;33;0;174.697435051828;2;0;0;0
4;34;0;179.074479490914;2;0;0;0
4;35;0;214.457007616232;2;0;0;0
4;37;0;210.559679522264;2;0;0;0
4;42;0;225.346108258191;2;0;0;0
4;43;0;227.466529576401;2;0;0;0
4;45;0;259.733281933468;2;0;0;0
